id	origine	valeur	cible	source	datePublication	dateConsultation
1	Claude Perdriel	contrôle	Groupe Perdriel			
1	Claude Perdriel	participe	Groupe L’Opinion	challenges.fr	22/08/2014	06/11/2019
2	Sophia Publications	100	Historia	strategies.fr	14/11/2014	28/06/2016
2	Sophia Publications	100	L’histoire	lemonde.fr	23/06/2016	22/10/2016
3	Groupe Perdriel	100	Challenges	strategies.fr	14/11/2014	28/06/2016
3	Groupe Perdriel	100	Sciences & Avenir	strategies.fr	14/11/2014	28/06/2016
9	Prisa	20	Le Monde libre			
10	Xavier Niel	11	Groupe La Provence			06/11/2019
10	Xavier Niel	26	Le Monde libre	https://fr.reuters.com/article/topNews/idFRKCN1BJ24Z-OFRTP	08/09/2017	
10	Xavier Niel	participe	Le Nouveau Magazine littéraire			
10	Xavier Niel	100	NJJ			
